date,mid_price,label
2017.09.27,331250,0.021276596
2017.09.28,336750,0.371428571
2017.09.29,323000,0.666666667
2017.09.30,334250,0.34375
2017.10.01,338000,0.09375
2017.10.02,341250,0.36
2017.10.03,334750,0.37037037
2017.10.04,338250,0.464285714
2017.10.05,337250,-0.038461538
2017.10.06,346250,0.384615385
2017.10.07,354750,0.615384615
2017.10.08,349000,0.571428571
2017.10.09,344000,0.28
2017.10.10,343500,0.76
2017.10.11,347500,0.708333333
2017.10.12,350750,0.464285714
2017.10.13,373500,0.407407407
2017.10.14,388000,0.576923077
2017.10.15,376750,0.724137931
2017.10.16,385000,0.88
2017.10.17,365500,0.692307692
2017.10.18,350500,0.551724138
2017.10.19,355250,0.357142857
2017.10.20,350250,-0.193548387
2017.10.21,353250,0.555555556
2017.10.22,342500,0.518518519
2017.10.23,343000,0.32
2017.10.24,343250,0.433333333
2017.10.25,343500,0
2017.10.26,348250,0.6
2017.10.27,348000,-0.034482759
2017.10.28,370750,0.185185185
2017.10.29,340750,0.233333333
2017.10.30,330500,0.153846154
2017.10.31,339750,0.285714286
2017.11.01,337000,0.25
2017.11.02,336250,0.620689655
2017.11.03,322850,0
2017.11.04,345600,0.111111111
2017.11.05,346250,0.413793103
2017.11.06,356225,0.52
2017.11.07,351300,0.285714286
2017.11.08,349825,0.464285714
2017.11.09,358175,0.685714286
2017.11.10,381300,0.242424242
2017.11.11,375400,0.448275862
2017.11.12,380725,0.258064516
2017.11.13,370375,0.307692308
2017.11.14,366150,0.266666667
2017.11.15,374825,0.642857143
2017.11.16,396700,0.5
2017.11.17,396200,0.222222222
2017.11.18,394275,0.571428571
2017.11.19,408525,0.538461538
2017.11.20,441025,0.153846154
2017.11.21,492150,0.517241379
2017.11.22,514525,0.333333333
2017.11.23,513750,0.419354839
2017.11.24,538500,0.392857143
2017.11.25,552950,0.379310345
2017.11.26,549500,0.527777778
2017.11.27,491625,0.771428571
2017.11.28,515150,0.303030303
2017.11.29,535700,0.620689655
2017.11.30,538500,0.827586207
2017.12.01,543500,0.689655172
2017.12.02,560150,0.35483871
2017.12.03,440550,0.44
2017.12.04,558350,0.461538462
2017.12.05,556000,0.384615385
2017.12.06,556750,0.125
2017.12.07,502550,0.607142857
2017.12.08,549100,0.555555556
2017.12.09,662700,0.444444444
2017.12.10,730000,0.482758621
2017.12.11,792850,0.615384615
2017.12.12,760000,0.142857143
2017.12.13,793900,0.535714286
2017.12.14,802350,0.909090909
2017.12.15,863200,0.775510204
2017.12.16,994550,0.527777778
2017.12.17,1035000,0.533333333
2017.12.18,1109750,0.5
2017.12.19,939050,0.461538462
2017.12.20,947050,0.413793103
2017.12.21,940900,0.757575758
2017.12.22,985000,0.386363636
2017.12.23,1043750,0.551724138
2017.12.24,1039750,0.142857143
2017.12.25,970000,0.1875
2017.12.26,964700,0.242424242
2017.12.27,992650,0.5625
2017.12.28,1019500,0.6
2017.12.29,1043750,0.633333333
2017.12.30,1160750,0.363636364
2017.12.31,1241000,0.411764706
2018.01.01,1393500,0.90625
2018.01.02,1525750,0.566666667
2018.01.03,1544750,0.5625
2018.01.04,1666000,0.694444444
2018.01.05,1863250,0.827586207
2018.01.06,2027000,0.56097561
2018.01.07,2026000,0.728813559
2018.01.08,1603000,0.612903226
2018.01.09,1729000,0.571428571
2018.01.10,1973000,0.558823529
2018.01.11,1913000,0.327272727
2018.01.12,1890250,0.672413793
2018.01.13,1399250,0.172413793
2018.01.14,1228500,0.34
2018.01.15,1354750,0.575
2018.01.16,1358750,0.425531915
2018.01.17,1448000,0.32
2018.01.18,1386500,-0.226415094
2018.01.19,1264250,-0.203389831
2018.01.20,1210250,0.47826087
2018.01.21,1228750,0.387755102
2018.01.22,1250750,0.558823529
2018.01.23,1185000,0.28125
2018.01.24,1218000,0
2018.01.25,1337000,0
2018.01.26,1360000,0.162790698
2018.01.27,1280000,0.289473684
2018.01.28,1192500,0.08
2018.01.29,1209500,0.222222222
2018.01.30,949700,0.558139535
2018.01.31,977000,0.568627451
2018.02.01,964500,-0.054054054
2018.02.02,850950,0.037037037
2018.02.03,757300,0.383333333
2018.02.04,857000,-0.280701754
2018.02.05,893000,0.418604651
2018.02.06,957400,0.575757576
2018.02.07,1006250,-0.307692308
2018.02.08,950450,-0.125
2018.02.09,962500,0.291666667
2018.02.10,969550,0.363636364
2018.02.11,1002550,0.476190476
2018.02.12,1042000,0.55
2018.02.13,1064000,0.131578947
2018.02.14,1070500,0.7375
2018.02.15,1069750,0.716049383
2018.02.16,1060250,0.779411765
2018.02.17,1082500,0.838709677
2018.02.18,1044750,0.333333333
2018.02.19,991050,0.5
2018.02.20,980000,0.25
2018.02.21,998500,0.575757576
2018.02.22,976700,0.685393258
2018.02.23,984000,-0.262295082
2018.02.24,987450,-0.327586207
2018.02.25,982200,0.081967213
2018.02.26,972450,0.394495413
2018.02.27,969750,0.263565891
2018.02.28,959800,0.006756757
2018.03.01,942650,0.314285714
2018.03.02,947600,-0.036697248
2018.03.03,924450,0.09929078
2018.03.04,870300,0.145038168
2018.03.05,824000,-0.081632653
2018.03.06,764050,0.183098592
2018.03.07,800050,0.694029851
2018.03.08,776200,-0.206451613
2018.03.09,787250,-0.015625
2018.03.10,769750,0.188679245
2018.03.11,718150,0.18
2018.03.12,659000,0.195488722
2018.03.13,661000,0.154411765
2018.03.14,636500,0.26119403
2018.03.15,558850,0.104
2018.03.16,602500,0
2018.03.17,600850,0.125
2018.03.18,632250,0.390243902
2018.03.19,608700,0.023622047
2018.03.20,586250,-0.106382979
2018.03.21,595500,0.291666667
2018.03.22,585900,0.556338028
2018.03.23,557950,0.496732026
2018.03.24,522750,-0.375
2018.03.25,500550,0.09929078
2018.03.26,459575,0.37398374
2018.03.27,431050,0.16
2018.03.28,448075,0.056962025
2018.03.29,418025,-0.066666667
2018.03.30,422025,0.264705882
2018.03.31,436250,0.085106383
2018.04.01,431950,-0.151898734
2018.04.02,414950,0.432926829
2018.04.03,410500,-0.006622517
2018.04.04,415850,0.311594203
2018.04.05,426725,0.434782609
2018.04.06,445550,0.209090909
2018.04.07,440275,0.064220183
2018.04.08,453050,0.112903226
2018.04.09,478700,0.317757009
2018.04.10,523650,0.375
2018.04.11,521750,0.398496241
2018.04.12,535250,0.387096774
2018.04.13,548600,0.47826087
2018.04.14,542650,0.463414634
2018.04.15,547300,0.495652174
2018.04.16,586350,0.161904762
2018.04.17,632000,0.537313433
2018.04.18,650000,0.320754717
2018.04.19,669700,0.419642857
2018.04.20,692100,0.180327869
2018.04.21,738650,0.480620155
2018.04.22,715350,0.315789474
2018.04.23,691650,0.336134454
2018.04.24,724000,0.368
2018.04.25,723800,0.584415584
2018.04.26,734800,0.219512195
2018.04.27,757650,0.258741259
2018.04.28,720750,0.1015625
2018.04.29,737600,0.30075188
2018.04.30,808550,0.308411215
2018.05.01,861300,0.290909091
2018.05.02,883100,0.288288288
2018.05.03,884100,0.276923077
2018.05.04,832650,0.325757576
2018.05.05,832750,0.486956522
2018.05.06,815700,0.388489209
2018.05.07,823800,0.617886179
2018.05.08,749900,0.32231405
2018.05.09,737800,0.179310345
2018.05.10,790750,0.217391304
2018.05.11,804750,0.2
2018.05.12,806300,0.212765957
2018.05.13,774200,-0.053691275
2018.05.14,773100,0.131386861
2018.05.15,754100,0.294117647
2018.05.16,775250,0.19047619
2018.05.17,777350,0.335526316
2018.05.18,781150,0.147651007
2018.05.19,749800,0.36
2018.05.20,689450,0.211267606
2018.05.21,652800,0.496732026
2018.05.22,659200,0.283870968
2018.05.23,656900,0.284615385
2018.05.24,637850,0.11627907
2018.05.25,602500,-0.025423729
2018.05.26,601350,-0.067567568
2018.05.27,626750,0.113924051
2018.05.28,629450,0.316176471
2018.05.29,636500,0.176056338
2018.05.30,643400,0.187878788
2018.05.31,663350,0.270967742
2018.06.01,661500,0.237037037
2018.06.02,654900,0.255474453
2018.06.03,660600,0.313868613
2018.06.04,662150,0.481203008
2018.06.05,655750,0.473282443
2018.06.06,656950,0.20610687
2018.06.07,607150,0.286764706
2018.06.08,581350,0.297709924
2018.06.09,571350,0.194244604
2018.06.10,534800,0.348101266
2018.06.11,548050,0.346153846
2018.06.12,561300,0.147540984
2018.06.13,553150,0.057971014
2018.06.14,558750,0.168539326
2018.06.15,563750,0.016666667
2018.06.16,594300,0.032467532
2018.06.17,578500,0.264150943
2018.06.18,595400,0.206060606
2018.06.19,560100,0.427672956
2018.06.20,533800,0.131313131
2018.06.21,514250,0.43125
2018.06.22,518000,0.411042945
2018.06.23,502550,0.50802139
2018.06.24,491600,0.322033898
2018.06.25,488250,0.091503268
2018.06.26,478200,0.282258065
2018.06.27,501900,0.453488372
2018.06.28,504675,0.411764706
2018.06.29,513950,0.319444444
2018.06.30,526950,0.246305419
2018.07.01,517200,0.143939394
2018.07.02,523900,0.375796178
2018.07.03,523500,0.148148148
2018.07.04,530700,0.243902439
2018.07.05,542950,0.22265625
2018.07.06,537000,0.337398374
2018.07.07,511100,0.238095238
2018.07.08,469100,0.329931973
2018.07.09,490600,0.024193548
2018.07.10,492225,0.319066148
2018.07.11,493400,0.279411765
2018.07.12,500350,0.033834586
2018.07.13,516600,0.038596491
2018.07.14,539400,0.092814371
2018.07.15,548750,0.252808989
2018.07.16,532150,0.242937853
2018.07.17,517700,0.284090909
2018.07.18,515550,0.118644068
2018.07.19,522300,0.172248804
2018.07.20,517000,0.331858407
2018.07.21,526250,0.18018018
2018.07.22,533100,0.081818182
2018.07.23,528400,0.228070175
2018.07.24,521950,0.208333333
2018.07.25,523250,0.291079812
2018.07.26,524750,0.299107143
2018.07.27,517400,-0.183908046
2018.07.28,502100,0.241525424
2018.07.29,483300,0.075829384
2018.07.30,479300,0.209756098
2018.07.31,468800,0.232227488
2018.08.01,471800,0.215517241
2018.08.02,468750,0.143442623
2018.08.03,468500,0.230769231
2018.08.04,451350,0.094117647
2018.08.05,425175,0.319327731
2018.08.06,418475,0.379310345
2018.08.07,404050,0.303149606
2018.08.08,376550,0.267489712
2018.08.09,377250,0.487179487
2018.08.10,354500,0.019455253
2018.08.11,316050,-0.05952381
2018.08.12,337300,0.307692308
2018.08.13,334450,0.055555556
2018.08.14,347750,0.248945148
2018.08.15,348750,0.269911504
2018.08.16,343050,0.024
2018.08.17,330800,0.333333333
2018.08.18,319975,0.393501805
2018.08.19,319050,0.478417266
2018.08.20,313700,0.389312977
2018.08.21,313050,0.35193133
2018.08.22,316225,0.136929461
2018.08.23,310175,0.283842795
2018.08.24,313075,0.251082251
2018.08.25,322400,0.132478632
2018.08.26,324000,0.333333333
2018.08.27,316250,0.24789916
2018.08.28,315475,0.285714286
2018.08.29,324400,0.135802469
2018.08.30,328025,0.543568465
2018.08.31,324650,0.341584158
2018.09.01,322250,0.081218274
2018.09.02,292700,0.34
2018.09.03,258000,0.430769231
2018.09.04,259725,0.323076923
2018.09.05,237675,0.519650655
2018.09.06,227625,0.443438914
2018.09.07,225500,0.211981567
2018.09.08,216600,0.142857143
2018.09.09,203750,0.179245283
2018.09.10,225975,0.277511962
2018.09.11,242050,0.127272727
2018.09.12,245975,0.191780822
2018.09.13,245000,0.369369369
2018.09.14,237575,0.219230769
2018.09.15,233650,0.432330827
2018.09.16,235375,0.277777778
2018.09.17,244650,0.282352941
2018.09.18,264100,0.254681648
2018.09.19,272875,0.219607843
2018.09.20,272525,0.164835165
2018.09.21,265225,0.251012146
2018.09.22,244775,0.305220884
2018.09.23,243900,0.372623574
2018.09.24,248575,0.321568627
2018.09.25,250500,0.341085271
2018.09.26,253525,0.219008264
2018.09.27,259800,0.048780488
2018.09.28,256300,0.29389313
2018.09.29,255800,0.254098361
2018.09.30,250375,0.244813278
2018.10.01,252875,0.32244898
2018.10.02,255425,0.445255474
2018.10.03,255775,0.196787149
2018.10.04,255000,0.318897638
2018.10.05,258125,0.231939163
2018.10.06,258800,0.272030651
2018.10.07,255925,0.323308271
2018.10.08,236750,0.225925926
2018.10.09,224900,0.337209302
2018.10.10,227250,0.343396226
2018.10.11,226000,0.128787879
2018.10.12,237050,0.291814947
2018.10.13,234850,0.228187919
2018.10.14,232200,0.197452229
2018.10.15,230325,0.319620253
2018.10.16,228375,0.259868421
2018.10.17,229750,0.174311927
2018.10.18,232000,0.235109718
2018.10.19,229600,0.273015873
2018.10.20,227950,0.299674267
2018.10.21,228400,0.194444444
2018.10.22,226550,0.274647887
2018.10.23,228400,0.344827586
2018.10.24,228075,0.173469388
2018.10.25,228875,0.219354839
2018.10.26,223875,0.306666667
2018.10.27,221450,0.277419355
2018.10.28,222300,0.202657807
2018.10.29,223625,0.307692308
2018.10.30,225850,0.400696864
2018.10.31,224525,0.067873303
2018.11.01,233375,0.313131313
2018.11.02,234975,0.274914089
2018.11.03,239275,0.315972222
2018.11.04,245700,0.467479675
2018.11.05,241600,0.292887029
2018.11.06,238500,0.55
2018.11.07,239675,0.451612903
2018.11.08,238275,0.479674797
2018.11.09,238950,0.472324723
2018.11.10,237500,0.344569288
2018.11.11,219775,0.351648352
2018.11.12,207975,0.350877193
2018.11.13,204700,0.242424242
2018.11.14,200700,0.350515464
2018.11.15,203275,0.37826087
2018.11.16,186375,0.233676976
2018.11.17,159950,0.033783784
2018.11.18,152500,0.338926174
2018.11.19,151950,0.118881119
2018.11.20,141275,0.43554007
2018.11.21,138300,0.129251701
2018.11.22,127100,0.219594595
2018.11.23,128900,0.184931507
2018.11.24,122750,0.231343284
2018.11.25,134100,0.197231834
2018.11.26,135050,0.251724138
2018.11.27,130575,0.171232877
2018.11.28,130925,0.182130584
2018.11.29,133175,0.203065134
2018.11.30,126500,0.49
2018.12.01,123800,0.312080537
2018.12.02,120150,0.205387205
2018.12.03,110225,0.298360656
2018.12.04,101775,0.344709898
2018.12.05,103365,0.31595092
2018.12.06,105725,0.148036254
2018.12.07,103775,0.179153094
2018.12.08,100700,0.117263844
2018.12.09,100585,0.088685015
2018.12.10,98950,0.185410334
2018.12.11,95920,0.423197492
2018.12.12,94190,0.367412141
2018.12.13,96545,0.267080745
2018.12.14,101305,0.314285714
2018.12.15,107950,0.322033898
2018.12.16,115800,0.2
2018.12.17,123725,0.194244604
2018.12.18,126850,0.470588235
2018.12.19,124725,0.401993355
2018.12.20,139275,0.524271845
2018.12.21,160800,0.525641026
2018.12.22,147875,0.205211726
2018.12.23,146350,0.415384615
2018.12.24,139275,-0.008426966
2018.12.25,141200,0.486166008
2018.12.26,155250,0.5703125
2018.12.27,151800,0.171581769
2018.12.28,151225,0.253369272
2018.12.29,153150,0.350617284
2018.12.30,165000,-0.007731959
2018.12.31,168600,0.510695187
2019.01.01,169975,0.304945055
2019.01.02,176600,0.404371585
2019.01.03,173025,0.243835616
2019.01.04,171600,0.417366947
2019.01.05,167600,0.444444444
2019.01.06,168675,0.273273273
2019.01.07,153100,0.494318182
2019.01.08,141675,0.408571429
2019.01.09,142750,0.370262391
2019.01.10,134725,0.129441624
2019.01.11,138450,0.140161725
2019.01.12,139425,0.101876676
2019.01.13,138650,-0.016997167
2019.01.14,135575,0.25136612
2019.01.15,134950,0.173441734
2019.01.16,137225,-0.067750678
2019.01.17,134250,0.55
2019.01.18,130450,0.011848341
2019.01.19,129850,0.251870324
2019.01.20,131550,0.289617486
2019.01.21,129300,0.224806202
2019.01.22,128875,0.287917738
2019.01.23,129125,0.07106599
2019.01.24,126250,0.172749392
2019.01.25,119025,0.417322835
2019.01.26,116125,0.023195876
2019.01.27,118500,0.131233596
2019.01.28,118700,0.305389222
2019.01.29,116450,0.120734908
2019.01.30,119500,-0.150895141
2019.01.31,119650,0.067183463
2019.02.01,119275,0.430769231
2019.02.02,118875,0.400977995
2019.02.03,115775,0.174019608
2019.02.04,116775,0.501369863
2019.02.05,124675,0.422222222
2019.02.06,130500,0.164983165
2019.02.07,132075,0.381294964
2019.02.08,134275,-0.173076923
2019.02.09,133175,0.270348837
2019.02.10,136025,0.498498498
2019.02.11,135275,0.559766764
2019.02.12,135675,0.233918129
2019.02.13,135925,0.423188406
2019.02.14,142375,0.439655172
2019.02.15,153225,0.549132948
2019.02.16,158400,0.346368715
2019.02.17,157375,0.459537572
2019.02.18,160825,0.470588235
2019.02.19,160925,0.527377522
2019.02.20,166400,0.666666667
2019.02.21,163550,0.580555556
2019.02.22,152025,0.314763231
2019.02.23,151375,0.42776204
2019.02.24,148975,0.237237237
2019.02.25,150800,0.495297806
2019.02.26,151250,0.507739938
2019.02.27,148000,-0.128834356
2019.02.28,146275,0.404984424
2019.03.01,141550,0.315286624
2019.03.02,145275,0.303514377
2019.03.03,150850,0.46953405
2019.03.04,152150,0.326605505
2019.03.05,149575,0.198051948
2019.03.06,150550,-0.094339623
2019.03.07,150025,0.161904762
2019.03.08,148750,0.552287582
2019.03.09,147425,0.54723127
2019.03.10,148075,0.356687898
2019.03.11,148175,0.310447761
2019.03.12,150350,0.12037037
2019.03.13,155700,0.318611987
2019.03.14,154275,0.220779221
2019.03.15,155325,0.427652733
2019.03.16,154500,0.292035398
2019.03.17,154725,0.598591549
2019.03.18,153225,0.393518519
2019.03.19,153150,0.339534884
2019.03.20,154175,0.330708661
2019.03.21,154275,0.247648903
2019.03.22,152925,0.530434783
2019.03.23,151375,0.561561562
2019.03.24,155050,0.264623955
2019.03.25,156075,0.448071217
2019.03.26,159025,0.414110429
2019.03.27,161500,0.242331288
2019.03.28,160175,-0.198776758
2019.03.29,160725,0.5028463
2019.03.30,172275,0.43373494
2019.03.31,187125,0.50148368
2019.04.01,179975,0.532352941
2019.04.02,184825,0.292899408
2019.04.03,189350,0.502906977
2019.04.04,194050,0.527377522
2019.04.05,205950,0.615789474
2019.04.06,204475,0.222857143
2019.04.07,206375,0.180055402
2019.04.08,196725,0.428571429
2019.04.09,188600,0.631878558
